taskid,MIDSAT+LOW,SAT+HIGH,UNSAT+HIGH,MIDSAT+HIGH,UNSAT+LOW,SAT+LOW
11,2.4,2.8,2.5,3.75,5.0,3.0
10,4.0,5.0,7.25,5.0,4.8,3.5
13,4.0,3.0,4.4,4.4,4.6,2.6
12,1.75,2.0,5.4,5.0,3.4,3.0
15,6.5,4.25,4.25,3.8,6.0,4.4
14,2.33333333333,5.6,2.75,4.0,3.25,4.6
17,5.0,4.2,5.25,3.75,6.66666666667,2.6
16,4.6,5.6,4.0,4.0,2.0,2.8
19,13.6666666667,7.75,5.0,5.0,8.4,6.0
18,3.4,3.6,3.75,5.25,6.0,4.0
20,4.8,4.5,6.5,7.8,5.75,5.5
1,7.75,3.75,6.0,6.8,5.75,5.6
3,3.2,3.0,3.2,1.5,3.8,2.25
2,7.4,1.75,3.0,3.6,4.6,5.0
5,3.5,4.4,4.4,6.25,4.0,3.2
4,3.0,4.75,5.0,5.0,3.8,5.0
7,3.5,2.75,3.75,4.8,3.6,4.0
6,5.0,3.25,4.4,6.0,4.0,4.0
9,5.0,5.4,6.4,3.75,5.4,8.5
8,3.4,4.75,5.2,3.5,4.25,5.5
